epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.237,1.1141,2.29207,1.38631,0.22726,0.20638,0.14944,0.1019,1.28713,2.25013,1.33532,0.00332675,0.00332675,0.00332675
2,393.327,1.07596,1.58303,1.33957,0.22092,0.25064,0.19649,0.13578,1.41841,2.19388,1.42164,0.00659414,0.00659414,0.00659414
3,585.825,1.1808,1.67767,1.4193,0.22532,0.21602,0.1682,0.10578,1.55048,2.4594,1.47028,0.00979554,0.00979554,0.00979554
4,779.561,1.2433,1.7872,1.47897,0.19492,0.18778,0.13183,0.07062,1.57736,2.56341,1.49133,0.009703,0.009703,0.009703
5,974.295,1.22555,1.72508,1.46491,0.23724,0.25197,0.19757,0.12697,1.47084,2.26959,1.4104,0.009604,0.009604,0.009604
6,1169.33,1.18294,1.64194,1.43322,0.14896,0.25078,0.16878,0.11251,1.5004,2.35501,1.44696,0.009505,0.009505,0.009505
7,1369.22,1.15287,1.57405,1.40967,0.26111,0.27709,0.22631,0.15188,1.42042,2.00212,1.37544,0.009406,0.009406,0.009406
8,1584.86,1.11899,1.52402,1.39121,0.27664,0.27363,0.22006,0.14816,1.38657,2.05471,1.35404,0.009307,0.009307,0.009307
9,1800.24,1.11637,1.47789,1.38366,0.29099,0.24799,0.23427,0.15517,1.35868,2.00246,1.341,0.009208,0.009208,0.009208
10,2014.11,1.08929,1.424,1.35885,0.28706,0.30154,0.23589,0.16343,1.3361,1.94204,1.33221,0.009109,0.009109,0.009109
11,2228.48,1.08122,1.41148,1.35061,0.30989,0.29258,0.2501,0.16919,1.31442,1.90723,1.2924,0.00901,0.00901,0.00901
12,2443.82,1.05924,1.37431,1.34334,0.2744,0.28014,0.2318,0.1552,1.33402,1.94447,1.31721,0.008911,0.008911,0.008911
13,2663.81,1.05593,1.35638,1.33411,0.31331,0.30732,0.25972,0.17992,1.29981,1.83041,1.28211,0.008812,0.008812,0.008812
14,2885.3,1.04915,1.31976,1.32902,0.31725,0.2979,0.25181,0.16944,1.26475,1.85054,1.28247,0.008713,0.008713,0.008713
15,3111.7,1.02234,1.2784,1.31482,0.29207,0.30993,0.25817,0.18193,1.26077,1.82608,1.27217,0.008614,0.008614,0.008614
16,3346.81,1.01691,1.25437,1.30037,0.31702,0.31034,0.27273,0.18812,1.24371,1.79487,1.28261,0.008515,0.008515,0.008515
17,3577.75,1.00952,1.24247,1.30729,0.30055,0.30598,0.26108,0.17897,1.2728,1.84133,1.28405,0.008416,0.008416,0.008416
18,3798.47,1.00267,1.2244,1.29587,0.33174,0.31538,0.2747,0.19082,1.24357,1.7868,1.2636,0.008317,0.008317,0.008317
19,4023.57,0.99598,1.20889,1.28898,0.38685,0.30109,0.29055,0.1982,1.27207,1.7716,1.28406,0.008218,0.008218,0.008218
20,4254.51,0.98549,1.18935,1.28017,0.33436,0.3391,0.28711,0.20241,1.23912,1.78425,1.26941,0.008119,0.008119,0.008119
21,4479.28,0.98058,1.16604,1.27474,0.37436,0.31344,0.29889,0.21029,1.1968,1.73824,1.22192,0.00802,0.00802,0.00802
22,4714.91,0.96119,1.12578,1.26545,0.32394,0.34482,0.29501,0.20537,1.22429,1.74437,1.2426,0.007921,0.007921,0.007921
23,4947.81,0.95116,1.10575,1.2615,0.38545,0.31185,0.2982,0.20711,1.19675,1.7065,1.24371,0.007822,0.007822,0.007822
24,5189.37,0.95281,1.09083,1.25315,0.36916,0.34442,0.31568,0.22305,1.20045,1.67983,1.2268,0.007723,0.007723,0.007723
25,5435.17,0.94869,1.07773,1.25855,0.35912,0.33951,0.29582,0.20789,1.22012,1.73801,1.2414,0.007624,0.007624,0.007624
26,5679.55,0.94748,1.07572,1.25247,0.3557,0.33929,0.29726,0.21193,1.19471,1.71851,1.22568,0.007525,0.007525,0.007525
27,5918,0.92844,1.04156,1.23459,0.38466,0.32439,0.30476,0.21746,1.18691,1.70408,1.23441,0.007426,0.007426,0.007426
28,6140.99,0.92734,1.01631,1.23948,0.37194,0.33328,0.31512,0.22236,1.19316,1.6751,1.23182,0.007327,0.007327,0.007327
29,6370.4,0.92609,1.00999,1.23467,0.37215,0.3555,0.319,0.22682,1.17424,1.67364,1.23,0.007228,0.007228,0.007228
30,6597.97,0.91237,0.99108,1.22405,0.41063,0.34153,0.33127,0.23008,1.17845,1.66903,1.21806,0.007129,0.007129,0.007129
31,6827.98,0.91747,0.97712,1.22604,0.40535,0.34617,0.32657,0.235,1.17871,1.68041,1.22248,0.00703,0.00703,0.00703
32,7064.75,0.90434,0.95161,1.22227,0.4109,0.34168,0.32492,0.2334,1.15641,1.63577,1.21816,0.006931,0.006931,0.006931
33,7301.88,0.89567,0.93812,1.21186,0.43543,0.33865,0.32802,0.23468,1.15748,1.62715,1.20636,0.006832,0.006832,0.006832
34,7536.39,0.90942,0.93767,1.2178,0.42266,0.34467,0.34027,0.23992,1.1628,1.65751,1.20656,0.006733,0.006733,0.006733
35,7778.8,0.89017,0.90758,1.20269,0.41788,0.34858,0.34195,0.24566,1.16098,1.61655,1.21597,0.006634,0.006634,0.006634
36,8009.65,0.88436,0.90103,1.2068,0.45018,0.34295,0.34582,0.25153,1.15865,1.63577,1.21486,0.006535,0.006535,0.006535
37,8237.69,0.88508,0.88569,1.20215,0.40871,0.36054,0.34306,0.24703,1.16022,1.62516,1.20511,0.006436,0.006436,0.006436
38,8468,0.87784,0.87263,1.19415,0.4637,0.34635,0.352,0.25444,1.15291,1.57946,1.19392,0.006337,0.006337,0.006337
39,8692.99,0.8735,0.85372,1.1923,0.44669,0.36195,0.35434,0.26106,1.13505,1.59746,1.1858,0.006238,0.006238,0.006238
40,8924.62,0.86005,0.84545,1.19087,0.46005,0.35264,0.34866,0.2549,1.14782,1.61639,1.2033,0.006139,0.006139,0.006139
41,9138.82,0.85304,0.82548,1.18285,0.47439,0.3555,0.35921,0.25813,1.1326,1.6023,1.18624,0.00604,0.00604,0.00604
42,9350.11,0.84757,0.81158,1.18069,0.48381,0.37662,0.37208,0.27266,1.13556,1.56734,1.17792,0.005941,0.005941,0.005941
43,9555.59,0.84615,0.80119,1.17497,0.45855,0.37131,0.36222,0.26474,1.12006,1.56234,1.18565,0.005842,0.005842,0.005842
44,9766.28,0.84166,0.79676,1.1742,0.47596,0.36508,0.35751,0.26117,1.1221,1.58865,1.19002,0.005743,0.005743,0.005743
45,9975.31,0.83702,0.77732,1.16729,0.52562,0.36353,0.36903,0.27065,1.11613,1.57377,1.17109,0.005644,0.005644,0.005644
46,10185.8,0.8368,0.77243,1.16752,0.48878,0.36537,0.37459,0.27445,1.12403,1.55835,1.18168,0.005545,0.005545,0.005545
47,10395.5,0.82941,0.7593,1.16389,0.56179,0.36544,0.38073,0.27867,1.11369,1.54632,1.17305,0.005446,0.005446,0.005446
48,10609.9,0.82564,0.74942,1.1601,0.57547,0.35856,0.38129,0.27716,1.12134,1.54915,1.17874,0.005347,0.005347,0.005347
49,10821.5,0.82162,0.73909,1.15536,0.53233,0.38763,0.39169,0.2841,1.11215,1.51974,1.17303,0.005248,0.005248,0.005248
50,11036.9,0.81063,0.72199,1.15361,0.49582,0.39221,0.38866,0.28258,1.11156,1.54171,1.17444,0.005149,0.005149,0.005149
51,11249.9,0.81397,0.71792,1.1532,0.51256,0.37181,0.37551,0.27593,1.12474,1.5802,1.18974,0.00505,0.00505,0.00505
52,11465,0.80523,0.70955,1.146,0.49745,0.38032,0.38331,0.2828,1.1089,1.56719,1.1831,0.004951,0.004951,0.004951
53,11682,0.81142,0.70833,1.14244,0.51565,0.39205,0.38743,0.28404,1.11032,1.54467,1.1899,0.004852,0.004852,0.004852
